time,name,commenter,comment,star
1 個月前,王康平,10 則評論,我以為帕里尼是像古巴三明治結果是吐司 但份量很多好飽 還不錯啦還不錯,3
1 個月前,林詩淵,在地嚮導 · 92 則評論,東西好吃，量又多，價格可接受，C/P值很高！,5
3 週前,Yuan Chen,7 則評論,"熔岩花生醬牛肉堡 240
薯條加大 40
炒蛋 35
蘑菇 45
豪好ㄘ (˶‾᷄ ⁻̫ ‾᷅˵)",5
2 個月前,張智英,在地嚮導 · 22 則評論,餐點好吃、CP值高，我們全家人都很喜歡！,5
1 年前,平淡V微笑,在地嚮導 · 43 則評論,該怎麼說這家店呢？我想最恰當的說法應該是C P值很高！！價格不貴，服務也可以，但是漢堡和套餐的美味度上來說其實是一般般，並沒有太大的特色。裝潢來說也比較老舊，不過這個跟食物沒有關聯只是稍微提一下⋯,4
1 週前,解翔宇,1 則評論,"11/11晚上用餐
入座後看到店員會自動來點餐,我們等了很久可能是坐在邊邊的關係店員沒看到,於是舉了很久的手,有個挑染的店員明明有瞄過來有看到,瞄了一眼馬上飄走就繼續忙她的,想說很忙可以體諒,我們就直接去櫃檯點餐想說比較快,點完後等了一陣子,看到比我們慢進來的人都上飲料也有明細了,我們想說不對勁,於是上前問了我們的餐點是否確定有點到,結果那位像是新來的外籍妹妹過來叫我們重點一次….很明顯漏了我們的單,漏了就算了沒有要先做我們的餐,還要我們重等,傻眼。
結論：店員嚴重缺乏訓練，用餐要碰運氣才能點到餐點。",1
1 年前,Doublebears Little,在地嚮導 · 473 則評論,花生醬可能有換過，吃起來跟以前不太一樣。這邊的氛圍滿輕鬆自在，漢堡約在200塊左右，飲料可以無限暢飲，跟朋友聚會一起來還不錯。只是週邊可能比較難停車，但是有收費的汽車停車場，機車可能就要繞一下了。,5
1 週前,古巧羽,2 則評論,"點完餐等了一陣子,比我們慢來的客人都有先送上飲料了,於是上前問了店員確定有點到我們的嗎？她到櫃檯確認一下就走過來叫我們再點一次,很明顯沒有點到….要重點就算了還要重等30分鐘？！且店員沒有任何的歉意。希望點餐方式可以改進,看了評論也有人和我們一樣白白等了好久才發現漏單。",1
1 年前,Allison,在地嚮導 · 273 則評論,漢堡的麵包跟飲料普通了點，其他整體cp值還行！服務不錯👍🏼,3
1 個月前,林典樟,在地嚮導 · 203 則評論,我早餐吃有點飽，來這裡再吃有點太撐了所以扣一顆,4
4 個月前,許月馨,在地嚮導 · 41 則評論,"漢堡肉的份量很足夠，不過薯條對我來說太乾，有點可惜。友人點歐姆蛋，裡面包的是一隻雞腿，覺得很特別！
最棒的是飲料無限暢飲，但也是辛苦服務生，要一直幫客人倒飲料，謝謝服務生們！",5
2 個月前,Yvonne Wang,在地嚮導 · 48 則評論,"美式裝潢，餐點中規中矩，飲料無限暢飲。
花生牛肉堡覺得花生醬有點少，不是很罪惡的那種花生醬😆
店內座位間距稍擠一些。",4
5 個月前,Fendi Fendi,在地嚮導 · 18 則評論,美式的氛圍滿輕鬆自在，漢堡約在200塊左右，飲料可以無限暢飲，適合跟朋友聚會。週邊不是好停車，附近收費的汽車停車場，機車可能要找一下了。,3
1 年前,張育瑋,在地嚮導 · 79 則評論,東西都好吃，飲料也可以續杯，很滿足，豬肋排份量大，烤的很多汁很美味，熔岩花生醬牛肉漢堡也不錯吃，只是不喜歡煮過的鳳梨，香炒洋蔥蘑菇牛肉堡洋蔥可以多一點才有炒洋蔥的味道。,4
1 週前,Shan,6 則評論,"到餐廳沒位置，問了能候位嗎？店員回覆至少要一個小時，就沒後續，也沒有要幫忙登記。後面有三位就直接讓他入座，直接傻眼
後來我坐在裡面門口旁邊等，店員也沒有要理的意思
後面有客人離開後，又有兩位、四位的也是直接讓他們入座，我就請問有幫我留位置嗎？店員不屑回答我們人到齊了嗎？
就算人未到齊，應該事先告知吧！而不是直接帶後面客人，把先到的晾在一旁，感覺很差！",1
6 個月前,湯姆瑞塔,在地嚮導 · 316 則評論,"雞肉大戰牛肉堡 超棒！雞肉hen juice!
蘑菇牛肉堡$220、海陸超大盤份量很夠$645！",5
2 個月前,陳彥宇,在地嚮導 · 275 則評論,漢堡算大，飲料可以喝到飽。,5
2 年前,喻政,在地嚮導 · 162 則評論,"美式漢堡/
卡茲雙起司/200元
中價位的美式漢堡店，適合跟朋友一起來聊天，店裡免得氣氛很棒，音樂也很不錯。

食物的部分，麵包稍微有點軟，起司給的十分大方。總體而言不錯

盤子如果再大一點就更好了！",3
4 個月前,joey Koko,在地嚮導 · 190 則評論,"份量適合一般男性和喜歡吃美式的女森。
不過，位子著實小了點。
20220702 花生醬要求多，確實給予了，甚滿意。",5
1 年前,林振芳,在地嚮導 · 447 則評論,鬆軟的漢堡多汁的肉排加上香濃的花生醬配上爽脆的青蔬~絕佳質感的美食，美式餐廳的裝飾突顯營業主題，有機會可以來吃看看！,4
2 個月前,黃啟豪,2 則評論,"回顧非常多次！餐點好吃又平價
很適合朋友聚餐～
就連小炸物也很厲害 推花枝圈👍👍",5
1 年前,GWChen,在地嚮導 · 34 則評論,"很好吃！
牛肉厚實、花生醬超多！花生醬控必點
薯條也給很多，CP值高！

總評：價位中、餐點優、環境中，還會再訪",4
3 年前,Miya,在地嚮導 · 239 則評論,"懶人包：重複造訪N次的好店家

政大附近的平價美式餐廳，是聚餐的好選擇。食物份量相當多，漢堡用料實在，大到無法用手拿起、一口咬下，口味也很棒，cheese或花生醬等配料都給的不手軟。此外，炸物都是現炸的，口感酥脆美味。早午餐的份量也很大，附湯濃郁好喝，bagel外酥內軟、很有嚼勁。飲料也可以無限暢飲，相當划算。

店家也很會做人，之前曾經被要求換位，店家就送上一盤招待的料理。有次恰巧遇到冷氣維修，店家也是送上一盤招待料理，讓人感覺很用心。

唯一缺點是飲料都會附一根吸管，不太環保。曾經和店員反應不要吸管，結果上餐時還是有吸管，可能客人太多、太忙，店員忘記了。希望店家能改成不鏽鋼吸管，或是乾脆別附吸管了。",5
1 年前,小威,在地嚮導 · 537 則評論,"以學生餐廳來說，100分。
份量超級大，飲料無限續杯，價格實惠。
戰斧豬排＋歐姆蛋，搞的好像雙主餐。

不過除了戰斧豬排有水準，其他漢堡、薯條、僅有中上水準（以美式餐廳而言就是一般水準），不用過多期待。座位也偏擠，裝潢一般。歐姆蛋還加了馬鈴薯...但起司不足。

總體而言，如果不是學生，不用太期待。這間的確算是政大生必吃的店。",5
1 年前,Youtoo Huang,在地嚮導 · 79 則評論,"看了Google評價與網路推薦慕名而來。本次點了蘑菇牛肉漢堡、佛州培根帕帕尼，價位在台北不算貴、服務不錯、份量充足且食物好吃，不過實際來吃並沒有網路上說的這麼神，下次如果有經過可能還會再吃，沒經過應該不會特地來吃。

整體而言還是不錯的美式餐廳！",5
1 年前,跬步千里,在地嚮導 · 522 則評論,"戰斧豬排歐姆260+花生堡230=430/2人；一人215
+用料實在
豬排很厚、不難咬
漢堡肉好吃、番茄新鮮，有鳳梨很特別
無糖綠茶的味道跟原萃很像
-吃完一份會膩
量很多
位子很擠（疫情期間也是）
有多人聚會會很吵很吵很吵（講話要用吼的）",5
1 週前,陳彥良,11 則評論,點的餐被遺忘，我們坐在吧檯，店員就在我們眼前，竟然毫無意識眼前的客人沒有送餐，乾等了一小時，當下沒有道歉。,1
1 個月前,Emily Chiu,10 則評論,餐點不錯，但位子有點擠，裡面有些嘈雜，就吃來說cp值蠻高的。,4
5 天前,彭姵嫻,15 則評論,"食材很豐富好吃很好拍
每次來都一定要先餵飽手機再肯吃
大推🥰",5
3 年前,Lin武熊,在地嚮導 · 128 則評論,"花生堡超濃到小膩，只可惜不是顆粒的要不口感更好，鳳梨薄沒法解膩，反而是麵包下的番茄+酸黃瓜+生洋蔥可以轉換口味，加上飲料檸檬紅茶（檸檬味有）或可樂就很剛好，飲料冷飲有各式百事系列飲、奶茶、綠茶等點餐就附，都可以無限續，還能更換，但如果是要咖啡可可等加價也能無限續。
國王肋排還不錯算嫩，但更推旁邊雞塊是真的雞肉塊下去炸內嫩好吃，不是速食店的那種碎肉版本可比。
只收現金但沒服務費，整體和市區相比份量足，相對划算，單人約2-3百元。",4
1 年前,Grace,在地嚮導 · 49 則評論,"薯條炸得很好吃，三明治裡面的起司很濃郁吃起來很過癮，生菜也處理的很好不會像在吃乾乾的草～
完全就是熱量爆炸餐但很開心
店員態度也很好！一直笑笑的",4
1 個月前,朱禮臣,在地嚮導 · 138 則評論,老牌漢堡店，有著創新的口味，在政大商圈仍是相當受歡迎，口味有水準，收費相較親民。,4
1 年前,A-Lun,在地嚮導 · 121 則評論,份量很足！品質也不馬虎！戰斧豬肉質口感很好，飲料也可無限續，而且不收服務費，但人很多，建議要先訂位,5
1 個月前,Yung-Ching Lan,在地嚮導 · 220 則評論,服務超棒，餐點好吃，很美式很罪惡感的那種，價格對比餐點份量跟品質真的蠻超值的！,5
1 年前,Vincent LU,在地嚮導 · 133 則評論,口味不錯，價格不會太貴，店內用餐環境不錯，餐點有飽足感，飲料還可以續杯。,5
3 年前,海棠,在地嚮導 · 216 則評論,"現金交易，不收服務費

有電視可以看體育競賽轉播，背景歌曲播放流行音樂

飲料提供汽水與奶茶等，可續杯，服務員手腳很勤快

餐點份量十足，洋蔥牛肉堡蠻厚的，口味不錯，薯條也很好吃

沙發區只有一個，其他是二人座位，可以拼桌，多人聚餐也沒問題

吧台座位高度適中，可惜桌子下方沒有掛鉤可以放包包",4
1 年前,Xuan,在地嚮導 · 18 則評論,"點了營養特快車早午餐$270
肋排有嚼勁，搭配的醬料濃稠+甜甜的，好吃~
貝果外酥內軟，配上奶油👍
濃湯雖然加了很多馬鈴薯，但喝起來像清水加一些燉爛的食材，可能是太清淡了（？）不合我的胃口......",4
1 年前,Paypay Ling,在地嚮導 · 14 則評論,漢堡薯條超U 飲料無限續 這個價格很可以,5
4 年前,Bangshin Hwang,在地嚮導 · 1015 則評論,"木盆沙拉和早午餐的份量都很大，內容也很豐盛，看隔壁桌吃這些，下次我應該會想吃吃看。

漢堡類僅有主菜、少許生菜和薯條飲料，乍看起來不多，但吃起來真飽。花生醬牛肉堡和洋蔥蘑菇堡味道都挺好，味道也不會太重。

薯條炸得酥脆也不會太鹹，所以不需要一口薯條再配上一口飲料。

飲料喝到飽，可以選擇可樂紅綠茶或奶茶這種主餐附送的，或是另加45元升級咖啡或康寧茶，要續杯時舉手請服務生過來即可。服務生態度都很好，如果正好經過桌旁，會主動詢問是否續加飲料。

環境乾淨，洗手間有在維持清潔，店內有無線wifi。現在適逢世足賽，店內電視轉播愛爾達頻道，邊吃邊看很享受。",5
1 年前,周佩璇,在地嚮導 · 120 則評論,"濃湯超多料的 我下次也要點！！
沒吃過雷的 已經來過好幾次了",5
1 年前,Pingu Little,在地嚮導 · 171 則評論,蔬食漢堡還算不錯吃，不過沒有驚艷的感覺，飲料可以瘋狂續杯很棒！,5
5 年前,Tina Liu,在地嚮導 · 204 則評論,畢業後還是會回來吃，價格一樣可愛，招牌菜單也都有了新設計！推薦木盆沙拉以及花生醬漢堡，每一道菜都在水準之上、份量充足100分～ 不用服務費，飲料無限續！,5
5 年前,KWEN KWEN,在地嚮導 · 1018 則評論,"價格便宜且份量非常多的漢堡餐廳
尤其豬肋排的份量非常的多肉質ok
建議點半份
味道雖然普通但用餐環境不錯氣氛好",3
9 個月前,阿靜,32 則評論,低消ㄧ杯飲料（可續杯），食物份量不小也很美味，而且服務人員態度也很nice 。,5
2 年前,Calvin Chen,在地嚮導 · 1829 則評論,"花生醬漢堡吃得到美式的傳統. 藉著花生醬, 不僅中和了油膩的肉香, 也更加的 juicy. 漢堡本身厚度大小則恰到好處, 入口後, 嚼感有彈性.

墨西哥 omelette 蛋煎工了得, 味道比較像是美國吃得到的墨西哥餐點, 也比純正墨西哥餐點更適合台灣.

然而防疫期間, 店家沒有針對空間做出任何調整. 還有超過10人的年輕男女學生併桌聚餐, 喧囂吵鬧, 髒話連飆.

餐點非常有水準, 但是用餐環境壅擠, 部分食客極端自私的用餐舉止, 店家也完全無視應負的社會安全責任. 不會再光顧了!",1
1 年前,彭西澤,在地嚮導 · 68 則評論,"少數我常常光顧的美式餐廳
東西好吃
飲料也無限量供應
用餐時間一到總是人多到滿出來",5
3 年前,John Liu,在地嚮導 · 103 則評論,"政大旁邊的美式餐廳

環境氣氛很好，價錢合理

漢堡很讚。麵包讓我驚訝
薯條可以加大分，推薦

沙拉也不錯吃

很適合聚餐的地方。可以定位
最後點餐是晚上8:30

附近好停車
Good!",4
7 個月前,Pamela Wang,在地嚮導 · 118 則評論,就是一個性價比高，工讀生美眉們服務佳又討喜的就是棒美式餐廳,5
1 年前,張廷豪,在地嚮導 · 52 則評論,超好吃的，吃過還會想再去，飲料無限續杯很棒,5
7 個月前,One K1dney Man,在地嚮導 · 24 則評論,份量有點小，似乎跟之前相比縮水不少,4
4 年前,Ian Chen,在地嚮導 · 78 則評論,"三明治非常好吃，今天點了「古巴諾」，吐司有種特殊的香味，搭配醃豬肉、火腿、醃黃瓜，讓人一口接一口，而且份量很大，適合男生來吃
「營養特快車」的肋排非常好吃，很嫩很香，雖然貝果有點硬，但還是不影響整份餐點的美味",5
11 個月前,Weichia Chen,在地嚮導 · 128 則評論,這家店的口碑在歷屆政大學生中，一直屹立不搖。餐點好吃，價格實惠，讚！,5
11 個月前,陳和鎮,1 則評論,"餐點cp值很高 選擇性很多
特別推薦漢堡～ 辣雞翅也很讚
和家人吃的超飽💛",5
7 個月前,Jim Tse-hsin Yang,在地嚮導 · 67 則評論,道地美式風味，戰斧豬排很厚但嫩，環境偏英式。,5
2 年前,Ching-Lin Chang,34 則評論,"吃了五年以上，從歐姆蛋消失又回歸！
最愛皮拿巴特與肋排～還可以帶著毛孩一同入內用餐，服務人員也對毛孩很友善👍🏻",5
1 年前,秦茵Yin,在地嚮導 · 37 則評論,"雞+牛260
辣醬堡210
跟台北其他地方比真的便宜好多
薯條很好吃 飲料可以免費續
牛肉不好吃，口感很像加很多澱粉
建議吃雞腿排
一整塊很過癮",5
1 年前,林蓶唲,在地嚮導 · 753 則評論,"不得不說這家的漢堡真是讚，肉很嫩，整體吃起來口感很棒,cp值高",5
2 年前,Jia Jia,在地嚮導 · 15 則評論,用餐時間人多，服務態度普通，價位算是中高，但份量多且飲料喝到飽，CP值高，適合預算三百內想吃漢堡且有飽足感的人，漢堡麵包部分很香，剛上桌有點酥酥的口感，肉類部分有肉汁，雞肉偏鹹，漢堡排很普通，沙拉也普通，豬肋排好吃，肉質偏乾但軟嫩，有肉絲的口感，整體表現大概介於4-5星之間，是可以重複嘗試的店。,4
1 年前,Christy Handmade,18 則評論,"豬肋排好吃、土司也好吃～
不想吃副餐的薯條可以換成沙拉、覺得很棒❤️
寵物可以帶進去一起用餐，對有毛孩的家庭很重要❤️",5
3 年前,ELLEN TSAI,在地嚮導 · 91 則評論,"起士花生醬墨西哥辣椒雞腿堡👍👍👍👍
#JUICYBUNS #美式漢堡
店員很貼心會若先點餐還在等待區會先上飲料，飲料無限續，餐具自己拿，假日要現場等位哦",4
4 年前,鄭博晉,在地嚮導 · 227 則評論,"一、結論：
環境氣氛佳，可惜薯條不好吃，沒有鹹味。漢堡肉品質也普通，但是價位真的比較低，有符合CP值。
二、餐點：
1.蘑菇牛肉堡：
蘑菇是真的蘑菇片，不只是磨菇醬!!(但是比較喜歡蘑菇醬就好)
牛肉肉質普通，沒特別香，口感也鬆鬆的。
2.薯條：
不好吃，沒有調味、不鹹。
3.飲料：
暢飲。
三、價位：
漢堡餐2、3百，CP值剛好。
四、環境與服務
環境乾淨、氣氛佳，服務OK",3
1 年前,Veronica Chang,在地嚮導 · 58 則評論,"口味普通 偏台式
優點是飲料可以免費續杯
麵包也都還不錯吃",4
5 個月前,u8413324,在地嚮導 · 99 則評論,份量多，貼心，CP值高，符合大學生需求！,5
5 年前,白（小白）,在地嚮導 · 498 則評論,中低價位，附飲料無限，生意不錯，出餐需等待，口味可接受，份量大，服務也不錯，但附餐濃湯的口味很不習慣，好像有加大黃瓜,4
3 年前,S.M. Hsu,在地嚮導 · 472 則評論,用料實在，價格合理，飲料無限續杯，歐姆蛋本身很好吃，薯條還可換沙拉，用餐環境也不錯，值得推薦的一間店。,4
3 年前,Darren H.,在地嚮導 · 775 則評論,"🛂🛂環境乾淨舒適，東西也都不錯，缺點是地點靠近政大門口，生意蠻好，人多有時位置要等等，尤其學生聚會，那種笑聲跟分貝......你懂的🙄🙄

✔️✔️飲料算是漢堡早午餐店，好喝的，感覺比較....純🤔🤔找不到比較好形容，而且可以🚰🚰續杯還不錯^^🈶

☑️☑️薯條大根很好吃,他奶奶的我在講什麼。但是歪嘴雞的我，對含玉米糖漿成份的番茄醬不愛不碰，所以乾吃，但是蠻順口的

ℹ️ℹ️生菜感覺都蠻新鮮，飽水及脆口
🉑🉑漢堡皮，微韌微鬆，算剛剛好，他們的花生醬濃稠度控制蠻好，跟鳳梨起士我覺得超合，甜味帶點豐厚，很可以

🉐🉐炸魚排龍蝦沙拉帕里尼，麵包沒切邊直壓，麵包份量算蠻大多的，龍蝦沙拉比較搶戲，魚排炸的焦酥了點，但是搭起來還是可以一口接一口，雖然不知道龍蝦在哪裡，但是我就愛這種甜甜沙拉，百搭",4
1 年前,ammmo,在地嚮導 · 400 則評論,奶茶不好喝，其他部分還行。,4
2 年前,YI SHIUAN WU,在地嚮導 · 342 則評論,"好吃 漢堡的肉非常多汁厚實
飲料可以續杯
服務生服務態度良好，但免服務費
可以在結帳時自行給予小費",5
5 年前,Debby,在地嚮導 · 125 則評論,"位置雖然偏僻，但生意依然超級好
店員服務態度也算不錯，出餐速度不會很慢，餐點普通，價格合理
雖然有限時，但如果後面沒有客人等候的話，就算時間到店員也是不會主動來趕人的，可以很放心的一直聊天",4
1 年前,張波波,1 則評論,"Cp值真的爆表！
外帶份量感覺比之前在店內用還多
漢堡薯條免費加大‼️飲料多種選擇
非常推薦👍取餐流程也很順暢",5
4 個月前,Henry Liu,在地嚮導 · 19 則評論,"政大好店(´･Д･)」推推
但份量好像變小了",5
3 年前,Jessica Jessica,10 則評論,"人蠻多，招牌熔岩花生漢堡不錯吃，份量很大，花生醬夠味而且很濃稠XDD加點薯條沙拉就更容易非常飽，價格（一般漢堡兩倍的size+薯條270）算合理，而且不收服務費，飲料可以無限續，滿推的XDDD
不過有一個年輕女服務生還蠻大牌的，不是要服務業多把客人當上帝，那樣我也受不了，但基本的客人禮貌性謝謝也要回一下吧，其他服務生都很正常",4
2 年前,歐強,在地嚮導 · 398 則評論,人多的時候覺得店內稍微擁擠，除此之外餐點都還不錯！,4
1 年前,Ted Lin,在地嚮導 · 199 則評論,漢堡好吃，當日壽星會贈送一份炸物拼盤,5
2 年前,JUNG LI LAI (tatsu),在地嚮導 · 224 則評論,"（兩年前）裝潢改了，菜單改了，服務也改了⋯⋯

（兩年後再訪）恢復水準了，值得推薦",5
3 年前,王阿正,在地嚮導 · 19 則評論,"食物精美口感佳不油膩
份量多
服務人員態度很好（ 男的帥/女的美）",5
2 年前,Ellia,在地嚮導 · 34 則評論,價位偏高但份量很夠。平常去奶茶很好喝，但這次不知道為什麼有點水，而且店員很厭世..哈哈,5
2 年前,Chris Chou,在地嚮導 · 950 則評論,美式料理餐廳，份量大CP值高，味道還不錯，學生聚餐好去處。,5
4 年前,wiwi,在地嚮導 · 200 則評論,"花生醬牛肉堡好讚⋯份量大用料也很不錯，飲料還可以無限續
這應該是目前在臺北吃過cp值最高的！",4
3 年前,Karls Zhan,10 則評論,"老政大人應該都不陌生的Juicy Bun
這次因為碰巧回去因此也來解饞
意外的發現歐姆蛋的吐司變成貝果了！

還是很令人懷念的美味與飽足感
能和朋友一起聚餐更好！",5
4 年前,Momser Wu,在地嚮導 · 1287 則評論,"餐的分量都很足夠
雞排產品用的是醃漬過雞腿排，再加上漢堡醬有點過鹹",4
2 年前,Solène Yu-Chieh Hsu,在地嚮導 · 125 則評論,"這次來用餐是第二次來訪，和第一次來吃的印象很不同！
我本身是一個對美式食物有點挑剔的人，因為覺得炸的東西吃起來很容易膩，所以常常在吃美式餐廳時覺得被雷到
這間店是政大校友的哥哥推薦的
他第一次帶我來吃的時候我印象不怎麼樣
因為那時想要多嚐嚐不同味道的餐點，所以我就配合點了一個炸雞的漢堡，果不其然，很容易覺得膩的我就覺得那次的漢堡普普
這次來點了最喜歡的口味—花生醬牛肉堡，真的很喜歡、很好吃😋濃滑的花生醬配上煎的多汁不油膩的牛肉漢堡排，配上烤（煎？）得些微酥脆的漢堡麵包及起司，味道真的超讚，而且他們把洋蔥和番茄片放在旁邊，我很喜歡，一是番茄不會把整個漢堡弄得濕濕糊糊，二是我不喜歡生的洋蔥（口味太嗆辣）不用把洋蔥從一層層疊好的漢堡材料中挑出來（基本上跳完漢堡也解體了）
隨餐附的薯條是正常好吃的美食薯條👌
飲料的話則是有很多種選擇，汽水奶茶咖啡等等的都有，而且可以續杯👍🏻",5
2 個月前,Roy Tsai,在地嚮導 · 92 則評論,文山最頂漢堡，沒有之一！,5
4 年前,潘桂蘭,在地嚮導 · 34 則評論,墨佬辣味披薩 好大一個 好飽一頓 加45元飲料可續杯可換選項 餓的話，來就不餓了！,4
4 年前,Alvin,在地嚮導 · 201 則評論,價格親民，餐點美味，份量實在，不加服務費。環境佈置十分有特色，是美式漢堡的口袋名單之一。,4
2 個月前,ChungYen Hsu,在地嚮導 · 20 則評論,"我個人覺得沙拉、漢堡都不錯～
不過空間略擠、內人不愛⋯",5
1 年前,林蔚詳,4 則評論,"店內冷氣夠強👍
西部牛仔漢堡吃得很飽👍
唯獨調味略微遜色
BTW 飲料可以續杯喝到飽",4
5 年前,chia chien,在地嚮導 · 79 則評論,不錯吃~只是用餐時間要等蠻久的~,5
1 個月前,宇月まりな,16 則評論,"擠，吵，餐點吃到有噁心感
用餐體驗沒有三百多的品質",1
5 年前,Jennifer Tu,在地嚮導 · 98 則評論,"菜單漲價，有些難以製作的菜色沒了
花生醬漢堡好吃
帕尼尼口味單調口味偏乾",4
2 年前,Satan Y,在地嚮導 · 247 則評論,好吃，推薦女王肋排沙拉，飲料可以續杯，唯一不棒的是有隻蒼蠅一直飛😓,4
9 個月前,柯宜吟,13 則評論,服務好食物超好吃，CP值極高，推推推,5
3 年前,Tina Lai,在地嚮導 · 496 則評論,美式餐廳 有大電視播放體育賽事 食物算美味，濃湯稍微淡了點，豬肋排稍微瘦了點，炸薯條好吃 漢堡裡的花生醬好大一塊😂服務態度很好，停車不易,4
10 個月前,Tracy Wu,在地嚮導 · 513 則評論,花生醬很香、漢堡普通～生意很好！,4
2 年前,Rachel,240 則評論,整體CP值很高！特別推薦檸檬雞柳沙拉,5
3 年前,Shih-hsin Wang,在地嚮導 · 1864 則評論,餐點份量十足且內容豐富，飲料還能續杯，服務人員也友善。,4
4 年前,廖素妮,在地嚮導 · 28 則評論,份量超值，沒有兩個胃或三五好友來不行喔~適合年輕人聚會！,5
4 年前,Zoe Wei,40 則評論,整體份量很大cp值高。雞牛大戰漢堡很美味多汁，但缺點是麵包會變得很濕。早午餐份量也很大。缺點是貝果跟湯的品質不是很穩定，有時候貝果烤的太乾，湯的話白濃湯比較好喝，黃色的濃湯就普普。不過整體來說是值得推薦高cp值的餐廳。,5
5 年前,Holmas Chen,6 則評論,從清晨貓空的山上，一路呼吸，下過雨的新鮮氣息，走向今天最後一站，花生醬牛肉漢堡，和提供它的店家，Juicy Bun.感覺，這樣就是一天圓滿的行程。,4
3 年前,Che-Ming Liu (Lao Liu),在地嚮導 · 840 則評論,"推薦雞牛大戰牛肉堡 飽足感十足 雞腿肉非常大塊 搭配牛肉以及起士、洋蔥、番茄等配料非常過癮 厚到一口無法咬下 !
服務態度相當佳 店內氣氛很棒",5
